Alabama,Ala.,AL,52423,4040587
Alaska,Alaska,AK,656424,550043
Arizona,Ariz.,AZ,114006,3665228
Arkansas,Ark.,AR,53182,2350725
California,Calif.,CA,163707,29769021
Colorado,Colo.,CO,104100,3294394
Connecticut,Conn.,CT,5544,3287116
Delaware,Del.,DE,2489,666168
District of Columbia,D.C.,DC,68,606900
Florida,Fla.,FL,65756,12937926
Georgia,Ga.,GA,59441,6478216
Hawaii,Hawaii,HI,10932,1108229
Idaho,Idaho,ID,83574,1006749
Illinois,Ill.,IL,57918,11430602
Indiana,Ind.,IN,36420,5544159
Iowa,Iowa,IA,56276,2776755
Kansas,Kans.,KS,82282,2477574
Kentucky,Ky.,KY,40411,3685296
Louisiana,La.,LA,51843,4219973
Maine,Maine,ME,35387,1227928
Maryland,Md.,MD,12407,4781468
Massachusetts,Mass.,MA,10555,6016425
Michigan,Mich.,MI,96705,9295297
Minnesota,Minn.,MN,86943,4375099
Mississippi,Miss.,MS,48434,2573216
Missouri,Mo.,MO,69709,5117073
Montana,Mont.,MT,147046,799065
Nebraska,Nebr.,NE,77358,1578385
Nevada,Nev.,NV,110567,1201833
New Hampshire,N.H.,NH,9351,1109252
New Jersey,N.J.,NJ,8722,7730188
New Mexico,N.Mex.,NM,121598,1515069
New York,N.Y.,NY,54471,17990455
North Carolina,N.C.,NC,53821,6628637
North Dakota,N.Dak.,ND,70704,638800
Ohio,Ohio,OH,44828,10847115
Oklahoma,Okla.,OK,69903,3145585
Oregon,Oreg.,OR,98386,2842321
Pennsylvania,Pa.,PA,46058,11881643
Rhode Island,R.I.,RI,1545,1003464
South Carolina,S.C.,SC,32008,3468703
South Dakota,S.Dak.,SD,77121,696004
Tennessee,Tenn.,TN,42146,4877185
Texas,Tex.,TX,268601,16986510
Utah,Utah,UT,84904,1722850
Vermont,Vt.,VT,9615,562758
Virginia,Va.,VA,42777,6187358
Washington,Wash.,WA,71302,4866692
West Virginia,W.Va.,WV,24231,1793477
Wisconsin,Wis.,WI,65499,4891769
Wyoming,Wyo.,WY,97818,453588
,,,,
United States,,,3787316,248691873
,,,,
* 1990 Census,,,,
